,,,Steel,Al,Cu,Au,Pb,Ni,Ag,Sn,Zn,Degrees of freedom,Years,Notes,Paper notes
Intensity elasticity to GDPPC,Wagenhals (1984) - from demand,"Unknown, static",,,-0.088,,,,,,,,1950?-1982?," Total, Region: Other market economies; Comments from Dahl: nan",
Intensity elasticity to GDPPC,Wagenhals (1984) - from demand,"Unknown, static",,,0.37,,,,,,,,1950?-1982?," Total, Region: U.K; Comments from Dahl: nan",
Intensity elasticity to GDPPC,Wagenhals (1984) - from demand,"Unknown, static",,,-0.539,,,,,,,,1950?-1982?," Total, Region: U.S.; Comments from Dahl: nan",
Intensity elasticity to price,Wagenhals (1984) - from demand,"Unknown, static",,,-0.0814,,,,,,,,1950?-1982?," Total, Region: Germany, W; Comments from Dahl: Eq. Storage, Price, Scrap Price",
Intensity elasticity to price,Wagenhals (1984) - from demand,"Unknown, static",,,-0.076,,,,,,,,1950?-1982?," Total, Region: Italy; Comments from Dahl: nan",
Intensity elasticity to price,Wagenhals (1984) - from demand,"Unknown, static",,,-0.0972,,,,,,,,1950?-1982?," Total, Region: Japan; Comments from Dahl: nan",
Intensity elasticity to price,Wagenhals (1984) - from demand,"Unknown, static",,,-0.0851,,,,,,,,1950?-1982?," Total, Region: Other market economies; Comments from Dahl: nan",
Intensity elasticity to price,Wagenhals (1984) - from demand,"Unknown, static",,,-0.0954,,,,,,,,1950?-1982?," Total, Region: U.K; Comments from Dahl: nan",
Primary supply elasticity to GDPPC,Wagenhals (1984),"Unknown, static",,,0.89,,,,,,,,1950?-1982?," mined, Region: Canada; Comments from Dahl: nan",
Primary supply elasticity to GDPPC,Wagenhals (1984),"Unknown, static",,,1.14,,,,,,,,1950?-1982?," mined, Region: Chile; Comments from Dahl: nan",
Primary supply elasticity to GDPPC,Wagenhals (1984),"Unknown, static",,,0.62,,,,,,,,1950?-1982?," mined, Region: Ot market economies; Comments from Dahl: nan",
Primary supply elasticity to GDPPC,Wagenhals (1984),"Unknown, static",,,1.15,,,,,,,,1950?-1982?," mined, Region: Peru; Comments from Dahl: nan",
Primary supply elasticity to GDPPC,Wagenhals (1984),"Unknown, static",,,0.95,,,,,,,,1950?-1982?," mined, Region: Philippines; Comments from Dahl: nan",
Primary supply elasticity to GDPPC,Wagenhals (1984),"Unknown, static",,,0.98,,,,,,,,1950?-1982?," mined, Region: S.Africa/Namibia; Comments from Dahl: nan",
Primary supply elasticity to GDPPC,Wagenhals (1984),"Unknown, static",,,0.87,,,,,,,,1950?-1982?," mined, Region: U.S.; Comments from Dahl: nan",
Primary supply elasticity to GDPPC,Wagenhals (1984),"Unknown, static",,,0.87,,,,,,,,1950?-1982?," mined, Region: Zaire; Comments from Dahl: nan",
Primary supply elasticity to GDPPC,Wagenhals (1984),"Unknown, static",,,0.91,,,,,,,,1950?-1982?," mined, Region: Zambia; Comments from Dahl: nan",
Mine CU elasticity to TCM,Wagenhals (1984),"Unknown, static",,,0.23,,,,,,,,1950?-1982?," mined, Region: Canada; Comments from Dahl: nan",
Mine CU elasticity to TCM,Wagenhals (1984),"Unknown, static",,,0.07,,,,,,,,1950?-1982?," mined, Region: Chile; Comments from Dahl: nan",
Mine CU elasticity to TCM,Wagenhals (1984),"Unknown, static",,,0.17,,,,,,,,1950?-1982?," mined, Region: Peru; Comments from Dahl: nan",
Mine CU elasticity to TCM,Wagenhals (1984),"Unknown, static",,,0.07,,,,,,,,1950?-1982?," mined, Region: Philippines; Comments from Dahl: nan",
Mine CU elasticity to TCM,Wagenhals (1984),"Unknown, static",,,0.06,,,,,,,,1950?-1982?," mined, Region: Zaire; Comments from Dahl: nan",
Mine CU elasticity to TCM,Wagenhals (1984),"Unknown, static",,,0.1,,,,,,,,1950?-1982?," mined, Region: Zambia; Comments from Dahl: nan",
Supply elasticity to GDPPC,Wagenhals (1984),"Unknown, static",,,0.432,,,,,,,,1950?-1982?," Refined, Region: U.S.; Comments from Dahl: nan",
Scrap spread elasticity to price,"Xiarchos (2009), a - from scrap price",Vector error correction model,,,0.603,,0.621,,,,0.92,673,1984-2000,"Not using log values, appear to be absolute, copper is 1984-2001 (df=929), lead is 1984-2000 (df=881), zinc is 1984-1996 (df=673), all using weekly price data",
Refined price elasticity to scrap price,"Xiarchos (2009), b",Vector error correction model,,,0.332,,0.011,,,,-0.109,673,1984-2000,"Not using log values, appear to be absolute, copper is 1984-2001 (df=929), lead is 1984-2000 (df=881), zinc is 1984-1996 (df=673), all using weekly price data",
Mine cost change per year,Young (1991),OLS and panel regression,,,,,,,,,,,1961-1978,Aggregate total factor productivity (TFP) for 14 firms,
Mine cost elasticity to ore grade,Young (1991),OLS and panel regression,,,,,,,,,,,1961-1978,Aggregate total factor productivity (TFP) for 14 firms,
Collection elasticity to scrap price,Zink et al. (2018),"Two stage least squares, long run",,0.174,,,,,,,,35,1971-2013,,
Direct melt fraction elasticity to scrap spread,Zink et al. (2018),"Two stage least squares, long run",,0.191,,,,,,,,35,1971-2013,,
Scrap demand elasticity to secondary price,Zink et al. (2018),"Two stage least squares, long run",,-0.532,,,,,,,,35,1971-2013,,
Mine CU elasticity to TCM,Zink et al. (2018),"Two stage least squares, long run",,0.425,,,,,,,,35,1971-2013,,
Intensity elasticity to price,Zink et al. (2018) - from demand,"Two stage least squares, long run",,-0.202,,,,,,,,36,1971-2013,,
Primary demand elasticity to scrap spread,Zink et al. (2018),"Two stage least squares, long run",,-0.195,,,,,,,,36,1971-2013,,
Collection elasticity to scrap price,"Blomberg (2007), a",Two stage least squares,,0.21,,,,,,,,,,,
Collection elasticity to scrap price,"Blomberg (2007), b",Two stage least squares,,0.78,,,,,,,,,,,
Intensity elasticity to price,"Hojman (1981), a - from demand",Ordinary least squares,,-0.04,,,,,,,,,,,
Intensity elasticity to price,"Hojman (1981), b - from demand",Ordinary least squares,,-1.25,,,,,,,,,,,
Mine cost change per year,"Young (1991), a",OLS and panel regression,,,-1.38,,,,,,,,,,
Mine cost change per year,"Young (1991), b",OLS and panel regression,,,2.02,,,,,,,,,,
Mine cost elasticity to ore grade,"Young (1991), a",OLS and panel regression,,,-0.63,,,,,,,,,,
Mine cost elasticity to ore grade,"Young (1991), b",OLS and panel regression,,,-0.68,,,,,,,,,,
